,,,,,
,,,,,
,,GUIDE,,,
,,,,,
,,,,,
,,,,,
,,,Stability,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,Stable,,"Item's value will most likely not change, if it does, it"
,,,,, wouldn't be a major change
,,,Unstable,,"Item's value is fluxuating, may end up increasing"
,,,,,or decreasing
,,,Declining,,Item is on track to lose a significant amount of its
,,,,,value
,,,Rising,,Item is on track to gain a significant amount of
,,,,,value
,,,,,
,,,,,
,,,,,
,,,Demand,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,High,,"Most demandable items, very easy to trade and get"
,,,,,overpays for
,,,Medium,,"Items with good demand, likely wont have trouble"
,,,,,getting a good deal for it
,,,Normal,,"Item has reasonable demand, not heavily sought"
,,,,,after but could still get a fair trade
,,,Low,,"Item has bad demand, nobody really looks for it"
,,,,,and it will likely be underpaid for
,,,,,
,,,,,
,,,,,
,,,Value,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,Owner's Choice,,"Temporary value, for items that have little to no owners"
,,,,,and are likely not in circulation
,,,???,,"Items with basically not value, exclusive to admins"
,,,,,and will probably never be traded
